date,open,high,low,close,volume
2015-01-02,312.58,314.75,306.96,308.52,2788101
2015-01-05,307.01,308.38,300.85,302.19,2774231
2015-01-06,302.24,303.0,292.38,295.29,3519034
2015-01-07,297.5,301.28,295.33,298.42,2640349
2015-01-08,300.32,303.14,296.11,300.46,3088398
2015-01-09,301.48,302.87,296.68,296.93,2592360
2015-01-12,297.56,298.51,289.28,291.41,3421392
2015-01-13,297.48,301.5,293.23,294.74,4136442
2015-01-14,291.93,295.91,286.5,293.27,5538666
2015-01-15,294.0,296.0,286.82,286.95,4419196
2015-01-16,286.28,290.79,285.25,290.74,3478176
2015-01-20,292.59,293.36,286.39,289.44,3075081
2015-01-21,289.64,306.0,287.26,297.25,10065076
2015-01-22,300.0,312.25,300.0,310.32,5362640
2015-01-23,308.08,316.93,307.72,312.39,4496419
2015-01-26,311.82,313.0,307.52,309.66,3169665
2015-01-27,306.3,310.24,302.62,306.75,2920315
2015-01-28,309.81,311.51,303.8,303.91,3063774
2015-01-29,304.73,312.8,299.33,311.78,8656567
2015-01-30,346.32,359.5,340.74,354.53,23856060
2015-02-02,350.05,365.0,350.01,364.47,10231914
2015-02-03,360.29,367.82,360.21,363.55,6212565
2015-02-04,358.38,367.5,358.23,364.75,4169927
2015-02-05,366.0,378.8,365.9,373.89,7247605
2015-02-06,374.87,375.99,371.01,374.28,3892382
2015-02-09,371.0,374.41,367.2,370.56,2724630
2015-02-10,371.19,374.3,368.51,373.0,2287232
2015-02-11,371.23,377.1,371.1,375.14,2786523
2015-02-12,375.1,378.51,373.15,377.17,2791050
2015-02-13,378.41,383.0,377.01,381.83,3475069
2015-02-17,377.72,379.98,372.67,375.43,3673208
2015-02-18,375.42,376.74,372.85,373.37,2650610
2015-02-19,373.49,381.88,373.43,379.0,2953752
2015-02-20,378.62,383.7,375.84,383.66,3258023
2015-02-23,383.44,384.54,378.0,380.14,2176989
2015-02-24,378.65,380.48,376.16,378.59,1921850
2015-02-25,377.27,387.85,376.54,385.37,3174495
2015-02-26,384.07,389.37,383.28,384.8,2687107
2015-02-27,384.0,385.99,379.79,380.16,2532309
2015-03-02,380.85,385.9,379.48,385.66,2139205
2015-03-03,383.95,386.1,381.6,384.61,1946498
2015-03-04,385.71,387.9,382.19,382.72,2259141
2015-03-05,385.61,388.42,383.89,387.83,2693518
2015-03-06,385.52,387.0,378.88,380.09,2627042
2015-03-09,378.4,379.33,375.28,378.56,2311390
2015-03-10,377.45,377.77,369.18,369.51,3120972
2015-03-11,370.61,373.35,366.26,366.37,2495097
2015-03-12,368.82,375.5,367.52,374.24,2810001
2015-03-13,371.52,373.99,366.68,370.58,2611658
2015-03-16,370.38,373.94,366.72,373.35,2354059
2015-03-17,371.11,374.5,369.64,371.92,2036961
2015-03-18,369.97,375.99,366.7,375.14,2654135
2015-03-19,373.87,377.11,372.19,373.24,1915671
2015-03-20,376.29,379.37,375.92,378.49,3763553
2015-03-23,378.07,381.77,374.94,375.11,2239343
2015-03-24,373.99,375.24,372.27,374.09,2228214
2015-03-25,375.17,380.5,370.28,370.96,3429497
2015-03-26,369.59,371.4,365.65,367.35,2929962
2015-03-27,367.11,373.17,366.57,370.56,2609774
2015-03-30,371.87,376.12,371.55,374.59,1820933
2015-03-31,373.24,377.7,371.51,372.1,2506122
2015-04-01,372.1,373.16,368.34,370.26,2458095
2015-04-02,370.5,373.28,369.0,372.25,1875279
2015-04-06,370.1,380.2,369.36,377.04,3050709
2015-04-07,376.15,379.31,374.03,374.41,1954902
2015-04-08,374.66,381.58,374.65,381.2,2636434
2015-04-09,380.66,384.42,378.8,383.54,2392328
2015-04-10,384.31,387.12,381.32,382.65,2573519
2015-04-13,383.53,385.28,380.14,382.36,1894453
2015-04-14,383.51,387.81,381.21,385.11,2583575
2015-04-15,384.65,385.78,381.64,383.45,1933229
2015-04-16,383.69,387.45,383.55,386.04,2080418
2015-04-17,382.63,383.56,374.4,375.56,3839664
2015-04-20,378.55,391.94,377.0,389.51,5016148
2015-04-21,391.31,394.6,386.8,391.18,4643524
2015-04-22,391.91,394.28,388.0,389.8,3474724
2015-04-23,390.21,391.88,386.15,389.99,7979985
2015-04-24,439.0,452.65,439.0,445.1,17176904
2015-04-27,443.86,446.99,437.41,438.56,5430949
2015-04-28,438.51,439.0,428.04,429.31,4140483
2015-04-29,426.75,434.24,426.03,429.37,3621688
2015-04-30,427.11,431.75,419.24,421.78,3647877
2015-05-01,423.82,425.64,416.0,422.87,3565824
2015-05-04,424.8,429.77,422.42,423.04,2270448
2015-05-05,422.85,427.51,421.02,421.19,2856386
2015-05-06,421.43,422.72,414.55,419.1,2552474
2015-05-07,424.15,428.5,422.85,426.88,2766132
2015-05-08,430.75,435.2,430.17,433.69,2908838
2015-05-11,432.51,439.0,431.37,432.85,2393737
2015-05-12,431.08,433.25,426.71,431.02,1947822
2015-05-13,429.98,433.53,425.8,426.87,1996328
2015-05-14,429.45,433.0,427.01,432.28,1888477
2015-05-15,428.0,430.4,424.3,426.0,4240306
2015-05-18,426.0,427.27,421.46,425.24,2390229
2015-05-19,424.87,428.24,420.63,421.71,2465240
2015-05-20,420.6,427.1,418.36,423.86,2196159
2015-05-21,428.0,436.9,428.0,431.63,4121401
2015-05-22,431.55,432.44,427.61,427.63,2020629
2015-05-26,426.2,427.0,422.0,425.47,2244185
2015-05-27,427.45,431.85,425.01,431.42,2231088
2015-05-28,429.71,431.35,425.47,426.57,1912436
2015-05-29,427.23,432.5,427.23,429.23,3016060
2015-06-01,430.4,433.16,426.2,430.92,2253264
2015-06-02,430.07,433.23,426.25,430.99,1669845
2015-06-03,434.4,438.39,432.75,436.59,2727914
2015-06-04,434.4,436.76,429.26,430.78,2510761
2015-06-05,429.66,430.8,426.5,426.95,1907855
2015-06-08,425.62,426.8,421.42,423.5,2172525
2015-06-09,422.96,427.49,419.14,425.48,2288663
2015-06-10,426.46,432.2,425.66,430.77,2172333
2015-06-11,432.29,438.89,431.47,432.97,2922459
